Year,Pick,Name,Pos,Tm,Overall,"Std.
Dev",High,Low
2010,1.01,Chris Johnson,RB,TEN,1.4,1.3,1.01,2.12
2010,1.02,Adrian Peterson,RB,MIN,2.3,1.3,1.01,2.11
2010,1.03,Ray Rice,RB,BAL,3.2,1.5,1.01,2.1
2010,1.05,Maurice Jones-Drew,RB,JAX,4.7,1.5,1.01,2.09
2010,1.05,Andre Johnson,WR,HOU,4.8,2.6,1.01,5.01
2010,1.06,Frank Gore,RB,SF,6.2,1.5,1.04,2.08
2010,1.08,Aaron Rodgers,QB,GB,7.8,2.6,1.01,2.05
2010,1.08,Randy Moss,WR,TEN,8.1,2.9,1.02,5.02
2010,1.09,Michael Turner,RB,ATL,9.1,2.1,1.03,2.06
2010,1.11,Reggie Wayne,WR,IND,11.2,3.2,1.05,5.03
2010,1.11,Steven Jackson,RB,LAR,11.3,2.8,1.05,2.09
2010,1.12,Calvin Johnson,WR,DET,12.3,3.4,1.04,5.06
2010,2.01,Drew Brees,QB,NO,13.2,3.8,1.02,2.12
2010,2.02,Miles Austin,WR,DAL,13.9,3.5,1.06,5.04
2010,2.03,Roddy White,WR,ATL,14.8,3.4,1.01,5.07
2010,2.03,Ryan Mathews,RB,LAC,15.4,3.6,1.06,3.06
2010,2.05,Brandon Marshall,WR,MIA,17.3,3.7,1.03,5.05
2010,2.07,Larry Fitzgerald,WR,ARI,19,3.6,1.1,5.08
2010,2.07,Rashard Mendenhall,RB,PIT,19.2,4.6,1.06,3.08
2010,2.08,Greg Jennings,WR,GB,20.4,3.7,1.11,5.11
2010,2.09,Peyton Manning,QB,IND,20.6,4.4,1.02,3.1
2010,2.1,DeAngelo Williams,RB,CAR,22.3,5,1.08,3.1
2010,3.01,DeSean Jackson,WR,PHI,24.7,4.4,2.04,6.05
2010,3.01,Jamaal Charles,RB,KC,24.9,6.1,1.1,4.06
2010,3.02,Marques Colston,WR,NO,25.7,4.1,2.05,5.1
2010,3.03,Shonn Greene,RB,NYJ,26.8,5.6,1.09,4.01
2010,3.03,Tom Brady,QB,NE,26.9,6.1,1.03,4.08
2010,3.03,Wes Welker,WR,NE,27.4,4.6,1.06,5.09
2010,3.05,Ryan Grant,RB,GB,29.4,5,2.01,4.06
2010,3.07,Anquan Boldin,WR,BAL,30.8,5.3,1.06,6.06
2010,3.08,Steve Smith,WR,NYG,32.1,5.7,2.03,5.12
2010,3.08,Pierre Thomas,RB,NO,32.1,4.5,2.05,4.09
2010,3.09,Cedric Benson,RB,CIN,33,5.2,2.06,4.12
2010,3.11,Matt Schaub,QB,HOU,35.1,7.4,1.05,5.07
2010,3.11,LeSean McCoy,RB,PHI,35.3,4.8,2.08,4.12
2010,3.12,Jahvid Best,RB,DET,36,6.1,2.05,5.04
2010,3.12,Steve Smith,WR,CAR,36,5.7,2.08,6.01
2010,3.12,Tony Romo,QB,DAL,36.3,7.3,1.06,5.09
2010,4.02,Arian Foster,RB,HOU,38.2,6.5,2.01,5.09
2010,4.03,Dallas Clark,TE,IND,38.9,7.3,2.04,8.01
2010,4.06,Antonio Gates,TE,LAC,42.2,5.6,2.12,8.02
2010,4.06,Michael Crabtree,WR,SF,42.5,6.5,3.02,6.12
2010,4.07,Jermichael Finley,TE,GB,42.6,6.1,2.03,8.03
2010,4.07,Matt Forte,RB,CHI,43.3,5.9,3.03,6.07
2010,4.1,Chad Johnson,WR,CIN,46,6.5,3.02,7.04
2010,4.1,Joseph Addai,RB,IND,46.2,7.8,3.02,6.07
2010,4.11,Dwayne Bowe,WR,KC,46.8,6.4,3.04,6.09
2010,4.12,Philip Rivers,QB,LAC,47.9,8,1.07,7.02
2010,5.03,Beanie Wells,RB,ARI,50.6,9.2,3.01,11.02
2010,5.04,Vernon Davis,TE,SF,52.1,6.9,4.01,8.04
2010,5.05,Jonathan Stewart,RB,CAR,53,6.8,3.01,6.11
2010,5.06,Hakeem Nicks,WR,NYG,54.1,7.7,3.07,7.08
2010,5.06,Knowshon Moreno,RB,DEN,54.4,7,3.04,7.05
2010,5.07,Ronnie Brown,RB,MIA,54.6,7.6,3.03,7.04
2010,5.07,Jason Witten,TE,DAL,55,6.2,4.06,8.05
2010,5.08,Mike Sims-Walker,WR,JAX,56,7.6,3.08,7.01
2010,5.08,C.J. Spiller,RB,None,56.4,8.2,3.02,7.03
2010,5.09,Percy Harvin,WR,MIN,56.8,8.5,3.01,7.11
2010,5.09,Hines Ward,WR,PIT,56.8,8.1,3.01,7.04
2010,5.11,Pierre Garcon,WR,IND,58.8,8.5,3.03,7.12
2010,6.02,Brent Celek,TE,PHI,61.9,7.7,4.01,8.07
2010,6.03,Reggie Bush,RB,NO,62.9,7.7,4.01,9.01
2010,6.03,Malcom Floyd,WR,LAC,63.1,8.5,4.06,8.09
2010,6.04,Ahmad Bradshaw,RB,NYG,63.8,8.2,4.01,8.07
2010,6.05,Felix Jones,RB,DAL,65.4,8.2,3.04,7.11
2010,6.06,Joe Flacco,QB,BAL,66.3,11,1.08,9.04
2010,6.07,Donald Driver,WR,GB,66.7,8.1,4.09,8.04
2010,6.07,Kevin Kolb,QB,PHI,67.3,13,1.11,9.03
2010,6.09,Tony Gonzalez,TE,ATL,68.5,8.5,5.01,8.12
2010,6.1,Justin Forsett,RB,SEA,70.1,10.2,3.01,9.03
2010,6.1,Jeremy Maclin,WR,PHI,70.5,8.2,4.12,8.07
2010,6.12,Santana Moss,WR,WAS,71.6,9,3.01,8.11
2010,6.12,Terrell Owens,WR,CIN,72.3,8.3,4.1,8.09
2010,7.01,Johnny Knox,WR,CHI,72.6,8.2,4.07,8.12
2010,7.01,Mike Wallace,WR,PIT,73.2,7.9,5.01,9.02
2010,7.02,Jerome Harrison,RB,PHI,74.3,9.8,4.02,9.09
2010,7.04,Marion Barber,RB,DAL,75.6,8.9,4.01,9.01
2010,7.09,Jay Cutler,QB,CHI,80.5,12.3,1.12,10.01
2010,7.09,Ricky Williams,RB,MIA,80.8,9.1,4.01,9.1
2010,7.09,Owen Daniels,TE,HOU,81.4,12.2,5.1,12.12
2010,7.12,Dez Bryant,WR,DAL,83.5,8.5,5.01,10.01
2010,7.12,Carnell Williams,RB,TB,83.7,8.9,4.07,10.09
2010,8.01,Brandon Jacobs,RB,NYG,84.5,10.4,4.03,10.11
2010,8.01,Clinton Portis,RB,WAS,85.1,9.3,4.06,10.01
2010,8.01,T.J. Houshmandzadeh,WR,BAL,85.2,11.2,5.1,10.1
2010,8.02,Michael Bush,RB,OAK,85.6,9.6,4.02,9.11
2010,8.03,Santonio Holmes,WR,NYJ,87.3,9.1,5.06,10.06
2010,8.04,Brett Favre,QB,MIN,88,15.2,1.09,11.01
2010,8.06,NY Jets Defense,DEF,NYJ,90.4,9.2,5.05,10.04
2010,8.08,Robert Meachem,WR,NO,91.8,10.6,5.02,10.1
2010,8.08,Chris Cooley,TE,WAS,91.9,15.2,5.1,12.11
2010,8.08,Matt Ryan,QB,ATL,92,14.2,3.01,11.08
2010,8.09,LaDainian Tomlinson,RB,NYJ,93,10.9,5.02,11.01
2010,8.1,Devin Aromashodu,WR,CHI,93.8,10.8,5.05,11.01
2010,8.11,Eli Manning,QB,NYG,94.8,14,1.1,11.04
2010,8.11,Thomas Jones,RB,KC,95.2,10.6,6.01,11.04
2010,8.11,Derrick Mason,WR,BAL,95.4,11,6.12,11.08
2010,9.02,Steve Breaston,WR,ARI,97.6,12.8,6.03,12.09
2010,9.02,Braylon Edwards,WR,NYJ,97.9,11.3,7.04,11.02
2011,1.02,Adrian Peterson,RB,MIN,1.7,1.1,1.01,1.1
2011,1.02,Ray Rice,RB,BAL,2.3,1.4,1.01,1.12
2011,1.03,Chris Johnson,RB,TEN,2.7,1.1,1.01,1.06
2011,1.04,Arian Foster,RB,HOU,4.2,1.3,1.01,1.08
2011,1.05,Jamaal Charles,RB,KC,5.3,1.4,1.01,1.09
2011,1.05,LeSean McCoy,RB,PHI,5.5,1.5,1.01,1.11
2011,1.07,Andre Johnson,WR,HOU,7.1,2,1.02,1.12
2011,1.09,Michael Vick,QB,PHI,8.9,3.9,1.01,2.07
2011,1.1,Roddy White,WR,ATL,9.9,2.1,1.07,2.06
2011,1.11,Calvin Johnson,WR,DET,11,2.5,1.04,2.08
2011,1.11,Maurice Jones-Drew,RB,JAX,11.3,2.6,1.05,2.07
2011,1.12,Darren McFadden,RB,OAK,12.1,3,1.05,2.08
2011,1.12,Rashard Mendenhall,RB,PIT,12.1,3.2,1.04,2.08
2011,2.01,Larry Fitzgerald,WR,ARI,12.9,2.6,1.01,2.08
2011,2.02,Aaron Rodgers,QB,GB,13.5,5,1.01,2.11
2011,2.05,Hakeem Nicks,WR,NYG,17,3.2,1.01,3.01
2011,2.06,Vincent Jackson,WR,LAC,17.6,2.9,1.12,3.02
2011,2.06,Frank Gore,RB,SF,18.4,4,1.07,3.06
2011,2.06,Matt Forte,RB,CHI,18.4,3.1,1.11,3.02
2011,2.09,Greg Jennings,WR,GB,21.2,3.2,2.01,3.08
2011,2.09,Steven Jackson,RB,LAR,21.2,3.7,2.01,3.07
2011,2.1,Michael Turner,RB,ATL,22.3,4.4,1.02,3.07
2011,2.11,Mike Wallace,WR,PIT,23.4,3.6,2.01,3.07
2011,2.12,Tom Brady,QB,NE,23.5,5.1,1.1,3.12
2011,3.02,Miles Austin,WR,DAL,25.7,3.8,2.04,3.11
2011,3.02,Peyton Hillis,RB,CLE,26.2,5.2,1.07,4.04
2011,3.03,Philip Rivers,QB,LAC,27.1,5.8,1.09,4.06
2011,3.04,Reggie Wayne,WR,IND,28.3,4.5,2.04,4.02
2011,3.04,Felix Jones,RB,DAL,28.3,4.6,2.01,4.06
2011,3.07,LeGarrette Blount,RB,TB,30.8,4.3,2.06,4.05
2011,3.07,DeSean Jackson,WR,PHI,31.1,4.9,2.09,4.1
2011,3.08,Wes Welker,WR,NE,32.3,5.4,2.09,4.11
2011,3.09,Drew Brees,QB,NO,33.5,6.7,2.03,5.02
2011,3.1,Jahvid Best,RB,DET,33.7,5.5,2.04,5.03
2011,3.1,Brandon Marshall,WR,MIA,34.1,5.5,2.03,4.12
2011,3.1,Ahmad Bradshaw,RB,NYG,34.4,4.6,2.09,5.02
2011,4.02,Antonio Gates,TE,LAC,37.9,6.4,2.03,5.07
2011,4.03,Dwayne Bowe,WR,KC,38.8,5.9,1.11,5.04
2011,4.03,Shonn Greene,RB,NYJ,39.4,6,2.08,5.08
2011,4.04,Dez Bryant,WR,DAL,39.8,5.6,3.01,5.06
2011,4.06,Mike Williams,WR,TB,42.1,4.8,2.12,5.08
2011,4.07,Jermichael Finley,TE,GB,42.9,4.6,3.09,5.08
2011,4.08,DeAngelo Williams,RB,CAR,43.9,6.6,3.02,6.01
2011,4.09,Jason Witten,TE,DAL,45.5,6.3,3.06,6.02
2011,4.1,Brandon Lloyd,WR,LAR,46.3,6.5,3.01,6.11
2011,4.11,Knowshon Moreno,RB,DEN,46.6,7.9,2.11,6.05
2011,4.12,Tony Romo,QB,DAL,47.6,10.8,1.02,6.1
2011,4.12,Steve Johnson,WR,None,47.9,5.7,3.12,6.01
2011,5.01,Mark Ingram,RB,NO,48.7,7.4,3.03,6.06
2011,5.01,Santonio Holmes,WR,NYJ,49.5,6,3.02,6.09
2011,5.04,Ryan Mathews,RB,LAC,52.1,8.7,3.07,8.01
2011,5.04,Marques Colston,WR,NO,52.2,6.8,3.11,6.09
2011,5.05,Anquan Boldin,WR,BAL,52.8,6.5,4.03,7.01
2011,5.05,Tim Hightower,RB,WAS,53.5,8.3,3.02,7.02
2011,5.06,Dallas Clark,TE,IND,54.2,7.1,4.04,6.07
2011,5.06,Mario Manningham,WR,NYG,54.3,6.6,4.04,6.1
2011,5.09,Beanie Wells,RB,ARI,56.8,7.9,3.12,7.06
2011,5.09,Vernon Davis,TE,SF,57,6.3,4.06,7.01
2011,5.12,Percy Harvin,WR,MIN,59.7,7.3,4.08,7.07
2011,6.02,Ryan Grant,RB,GB,62.1,7.8,4.02,7.05
2011,6.02,Jeremy Maclin,WR,PHI,62.4,7.8,4.03,7.09
2011,6.02,Matt Schaub,QB,HOU,62.4,10.7,2.01,8.03
2011,6.03,Chad Johnson,WR,NE,62.9,7.4,4.05,7.08
2011,6.05,Owen Daniels,TE,HOU,64.5,6.8,4.1,7.1
2011,6.05,Jimmy Graham,TE,NO,64.8,7,5.02,7.11
2011,6.05,Kenny Britt,WR,TEN,64.9,7.9,4.09,7.09
2011,6.06,Reggie Bush,RB,MIA,66.4,8.4,3.09,8.01
2011,6.07,Cedric Benson,RB,CIN,66.9,8.4,4.03,8.01
2011,6.07,Matt Ryan,QB,ATL,67,10.4,4.02,8.08
2011,6.1,Ben Roethlisberger,QB,PIT,69.7,9,3.07,8.05
2011,6.1,Peyton Manning,QB,IND,69.7,17.2,1.01,8.09
2011,6.11,Fred Jackson,RB,None,71.4,8.3,4.12,8.01
2011,6.12,Danny Amendola,WR,LAR,71.7,9,5.02,9.1
2011,7.01,BenJarvus Green-Ellis,RB,NE,73.5,9.5,4.06,9.05
2011,7.01,Julio Jones,WR,ATL,73.5,8.9,3.03,8.12
2011,7.04,Santana Moss,WR,WAS,75.8,7.9,5.01,9.02
2011,7.05,Joseph Addai,RB,IND,77.4,9,5.04,8.09
2011,7.06,Austin Collie,WR,IND,78.1,11,4.07,9.09
2011,7.06,Marshawn Lynch,RB,SEA,78.5,8.5,4.03,9.04
2011,7.07,Matthew Stafford,QB,DET,79.1,11.4,1.01,9.1
2011,7.07,Mike Tolbert,RB,LAC,79.4,7.4,5.11,8.09
2011,7.11,Tony Gonzalez,TE,ATL,82.6,13.8,5.07,10.07
2011,7.12,Plaxico Burress,WR,NYJ,83.6,8.4,6.02,9.08
2011,8.02,Mike Thomas,WR,JAX,85.5,7,7.02,10.01
2011,8.03,Daniel Thomas,RB,MIA,87.2,9.4,6.03,10.04
2011,8.04,Sidney Rice,WR,SEA,88.1,13,5.01,11.11
2011,8.04,Pittsburgh Defense,DEF,PIT,88.3,7.4,6.03,10.03
2011,8.05,Kellen Winslow,TE,TB,89.3,16.5,6.07,12.07
2011,8.06,Malcom Floyd,WR,LAC,89.9,11.1,6.03,10.03
2011,8.06,James Starks,RB,GB,90.1,8.1,7.04,10.04
2011,8.07,Brandon Jacobs,RB,NYG,90.5,7.9,6.04,10.01
2011,8.08,Josh Freeman,QB,TB,92.3,11.2,6.09,10.1
2011,8.09,Lance Moore,WR,NO,92.9,9.2,6.04,10.05
2011,8.09,Pierre Garcon,WR,IND,93.5,13.5,5.1,11.02
2011,8.1,Mike Sims-Walker,WR,FA,93.9,10.1,6.04,10.09
2011,8.11,Green Bay Defense,DEF,GB,94.5,7,7.01,9.09
2011,8.12,Jonathan Stewart,RB,CAR,96.1,9.8,7.01,11.03
2011,9.01,A.J. Green,WR,CIN,96.7,11.5,6.08,11.03
2011,9.02,Pierre Thomas,RB,NO,98.5,9.8,7.03,10.11
2011,9.03,Philadelphia Defense,DEF,PHI,98.8,7.9,7.05,11.05
2012,1.01,Arian Foster,RB,HOU,1.4,0.6,1.01,1.03
2012,1.02,Ray Rice,RB,BAL,1.9,0.9,1.01,1.04
2012,1.03,Aaron Rodgers,QB,GB,3.4,1.9,1.01,1.08
2012,1.05,Calvin Johnson,WR,DET,4.8,1.4,1.01,1.08
2012,1.05,LeSean McCoy,RB,PHI,4.8,1.7,1.02,1.09
2012,1.06,Tom Brady,QB,NE,6.1,1.8,1.02,1.1
2012,1.06,Darren McFadden,RB,OAK,6.4,1.6,1.04,1.1
2012,1.08,Chris Johnson,RB,TEN,8.1,1.8,1.04,1.12
2012,1.1,Matt Forte,RB,CHI,10.2,2.3,1.04,2.04
2012,1.11,DeMarco Murray,RB,DAL,11.2,2,1.06,2.03
2012,1.12,Drew Brees,QB,NO,12.3,4.3,1.03,2.11
2012,2.02,Julio Jones,WR,ATL,14.3,2.8,1.08,2.1
2012,2.02,Maurice Jones-Drew,RB,JAX,14.4,3.8,1.04,3.04
2012,2.04,Jamaal Charles,RB,KC,16.1,2.9,1.11,2.11
2012,2.05,Rob Gronkowski,TE,NE,16.5,3.7,1.1,3.05
2012,2.07,Fred Jackson,RB,None,18.6,2.6,1.12,3.01
2012,2.08,Ryan Mathews,RB,LAC,19.9,3.6,2.01,3.05
2012,2.09,Larry Fitzgerald,WR,ARI,20.8,3.6,2.01,3.04
2012,2.09,Steven Jackson,RB,ATL,21.1,4.2,2.01,3.06
2012,2.1,Brandon Marshall,WR,CHI,22.3,4.5,2.01,3.06
2012,2.11,Matthew Stafford,QB,DET,22.7,5,1.11,3.12
2012,2.11,Doug Martin,RB,TB,22.9,3.5,2.01,3.06
2012,3.01,Darren Sproles,RB,NO,24.5,5.1,2.01,3.12
2012,3.02,Trent Richardson,RB,CLE,26.1,4.3,2.01,3.1
2012,3.02,A.J. Green,WR,CIN,26.2,4.6,2.01,3.11
2012,3.03,Cam Newton,QB,CAR,27,6,1.12,4.04
2012,3.03,Andre Johnson,WR,HOU,27.1,5.5,1.03,4.01
2012,3.06,Roddy White,WR,ATL,30.2,5.1,2.02,4.05
2012,3.07,Greg Jennings,WR,MIN,30.8,3.7,3.01,4.02
2012,3.08,Wes Welker,WR,DEN,31.8,6.8,2.01,4.08
2012,3.1,Victor Cruz,WR,NYG,33.8,4.4,2.08,4.11
2012,3.1,Ahmad Bradshaw,RB,FA,34.4,5.6,2.11,5.07
2012,4.03,Jordy Nelson,WR,GB,38.9,4.5,3.03,4.11
2012,4.05,Hakeem Nicks,WR,NYG,40.9,4.6,2.08,4.11
2012,4.06,Reggie Bush,RB,DET,41.7,5.8,3.04,5.04
2012,4.07,BenJarvus Green-Ellis,RB,CIN,42.7,5.7,3.04,5.09
2012,4.08,Percy Harvin,WR,SEA,44.2,4.6,3.07,5.06
2012,4.08,Dez Bryant,WR,DAL,44.4,6.3,2.02,5.07
2012,4.1,Matt Ryan,QB,ATL,46.4,6.1,3.08,5.09
2012,4.11,Antonio Brown,WR,PIT,47.4,6,3.05,6.05
2012,5.02,Marques Colston,WR,NO,49.6,5.1,4.01,5.12
2012,5.05,Eric Decker,WR,DEN,53.5,6.2,4.03,6.08
2012,5.06,Steve Smith,WR,CAR,54.2,5.7,4.04,6.06
2012,5.07,Peyton Hillis,RB,KC,54.7,6.5,4.01,6.07
2012,5.07,Donald Brown,RB,IND,54.9,4.7,4.05,6.07
2012,5.07,Michael Vick,QB,PHI,55.2,10,3.03,7.05
2012,5.09,Eli Manning,QB,NYG,57.3,10.3,3.04,7.12
2012,5.1,Brandon Lloyd,WR,FA,58,7.8,4.02,7.06
2012,5.12,Shonn Greene,RB,TEN,59.6,6.8,4.09,7.03
2012,5.12,Mike Wallace,WR,MIA,60.1,7.4,4.01,7.02
2012,6.05,DeSean Jackson,WR,PHI,64.8,8,4.12,7.08
2012,6.06,Kevin Smith,RB,DET,65.5,6.6,5.06,7.1
2012,6.06,Demaryius Thomas,WR,DEN,65.7,9.3,2.11,7.07
2012,6.07,Peyton Manning,QB,DEN,67.5,12.8,2.12,8.12
2012,6.08,Torrey Smith,WR,BAL,68.1,7.4,5.06,7.12
2012,6.12,Jeremy Maclin,WR,PHI,71.6,6.7,5.08,8.03
2012,6.12,Dwayne Bowe,WR,KC,71.7,9.2,4.06,8.03
2012,6.12,Ryan Williams,RB,ARI,72,8,5.02,8.01
2012,7.01,Tony Romo,QB,DAL,72.9,9.6,4.09,8.08
2012,7.03,Jason Witten,TE,DAL,74.9,13.5,5.04,9.1
2012,7.03,Steve Johnson,WR,None,75.4,7,5.09,8.06
2012,7.07,Vincent Jackson,WR,TB,78.6,9.3,5.04,8.12
2012,7.08,Michael Bush,RB,CHI,79.7,8.7,6.04,9.05
2012,7.1,Fred Davis,TE,WAS,81.7,13.8,5.05,9.11
2012,7.11,Miles Austin,WR,DAL,82.6,11.1,3.02,9.08
2012,7.11,Philip Rivers,QB,LAC,82.7,10.7,5.06,9.07
2012,8.01,C.J. Spiller,RB,None,84.8,9.5,6.01,9.1
2012,8.02,Reggie Wayne,WR,IND,85.6,6.6,6.08,9.02
2012,8.02,Jonathan Stewart,RB,CAR,85.7,9.2,6.07,10.01
2012,8.03,Pierre Garcon,WR,WAS,86.5,7.3,6.09,9.04
2012,8.04,Tony Gonzalez,TE,ATL,87.6,11.7,5.11,10.1
2012,8.06,Kenny Britt,WR,TEN,89.6,7.6,6.04,9.05
2012,8.06,Jay Cutler,QB,CHI,90.3,10.4,6.12,9.12
2012,8.08,Jacquizz Rodgers,RB,ATL,91.7,9.2,6.08,10.04
2012,9.01,Toby Gerhart,RB,MIN,96.8,7.4,7.04,10.05
2012,9.05,Rashard Mendenhall,RB,ARI,101.3,9.8,6.11,11.06
2012,9.06,Robert Griffin III,QB,WAS,101.8,9.7,6.11,10.08
2012,9.06,Greg Olsen,TE,CAR,102,16.2,3.02,11.09
2012,9.1,Jacob Tamme,TE,DEN,105.9,15.5,6.09,13.01
2012,10.03,Nate Washington,WR,TEN,110.8,14.8,7.1,12.09
2012,10.05,Lance Moore,WR,NO,113.2,11.8,8.01,12.05
2012,10.1,Danny Amendola,WR,NE,117.7,14.1,4.11,13.01
2012,10.11,Jonathan Dwyer,RB,PIT,118.9,18.7,7.01,15.1
2012,10.12,Jermaine Gresham,TE,CIN,119.9,13.6,8.01,13.07
2012,10.12,Evan Royster,RB,WAS,120.4,17.2,6.01,13.05
2012,11.04,Robert Turbin,RB,SEA,124.4,12.5,9.04,14.02
2012,11.12,Brandon LaFell,WR,CAR,132.4,20.8,5.02,14.01
2012,12.01,Kyle Rudolph,TE,MIN,132.8,19.5,8.01,14.07
2012,12.09,Josh Freeman,QB,TB,141.1,12.9,10.03,14.12
2012,13.01,Greg Little,WR,CLE,145,12.8,10.05,14.11
2012,13.08,Brent Celek,TE,PHI,152,19.4,9.01,15.12
2012,13.09,Shane Vereen,RB,NE,152.8,17.3,10.03,15.11
2012,14.01,Buffalo Defense,DEF,BUF,156.9,13.8,11.01,15.12
,,,,,,,,
2013,1.01,Adrian Peterson,RB,MIN,1.2,0.6,1.01,1.05
2013,1.03,Jamaal Charles,RB,KC,3.2,1.3,1.01,1.1
2013,1.04,Doug Martin,RB,TB,3.6,1.4,1.01,1.09
2013,1.04,Arian Foster,RB,HOU,3.8,1.8,1.01,1.09
2013,1.06,Calvin Johnson,WR,DET,5.6,2.2,1.01,1.11
2013,1.06,C.J. Spiller,RB,None,6.3,2,1.01,1.11
2013,1.07,Ray Rice,RB,BAL,7.4,2.2,1.02,2.02
2013,1.08,Marshawn Lynch,RB,SEA,7.6,2.4,1.02,2.04
2013,1.08,LeSean McCoy,RB,PHI,8.2,2.3,1.01,2.02
2013,1.08,Trent Richardson,RB,IND,8.3,2.2,1.02,2.02
2013,1.12,Alfred Morris,RB,WAS,12.5,2.2,1.02,2.07
2013,2.01,Matt Forte,RB,CHI,12.7,2.3,1.02,2.09
2013,2.02,Dez Bryant,WR,DAL,13.7,2.5,1.06,2.11
2013,2.02,Jimmy Graham,TE,NO,14.3,3.2,1.06,3.06
2013,2.03,Chris Johnson,RB,NYJ,15.5,2.7,1.06,2.11
2013,2.04,Steven Jackson,RB,ATL,16,2.8,1.06,2.12
2013,2.05,A.J. Green,WR,CIN,17.2,3.1,1.09,3.04
2013,2.05,Reggie Bush,RB,DET,17.5,3,1.08,3.02
2013,2.07,Brandon Marshall,WR,CHI,19.3,3.4,1.06,3.04
2013,2.07,Stevan Ridley,RB,NE,19.4,3.2,2.01,3.07
2013,2.08,Maurice Jones-Drew,RB,OAK,19.7,3,1.12,3.04
2013,2.1,Julio Jones,WR,ATL,22,3.1,2.01,3.06
2013,3.01,David Wilson,RB,NYG,25.1,5.9,1.04,4.04
2013,3.01,Demaryius Thomas,WR,DEN,25.5,3.2,2.05,3.1
2013,3.02,Frank Gore,RB,SF,26.2,4.6,2.02,4.06
2013,3.03,DeMarco Murray,RB,DAL,26.6,4.5,2.05,4.05
2013,3.04,Larry Fitzgerald,WR,ARI,27.9,3.4,2.06,4.02
2013,3.04,Darren Sproles,RB,PHI,28,5.3,1.12,4.08
2013,3.05,Lamar Miller,RB,MIA,28.9,5,2.01,4.05
2013,3.06,Randall Cobb,WR,GB,30.5,3.9,2.01,4.07
2013,3.07,Drew Brees,QB,NO,30.7,8.1,1.01,4.12
2013,3.08,Aaron Rodgers,QB,GB,31.8,7.9,1.03,4.1
2013,3.09,Darren McFadden,RB,OAK,32.6,5.5,2.06,4.11
2013,3.1,Rob Gronkowski,TE,NE,33.7,6.6,2.01,5.01
2013,3.1,Andre Johnson,WR,HOU,34.2,4,2.01,4.1
2013,3.1,Roddy White,WR,ATL,34.4,3.5,2.11,4.09
2013,4.01,Eddie Lacy,RB,GB,37.3,5.2,2.09,5.05
2013,4.03,Victor Cruz,WR,NYG,38.8,4,3.01,5.04
2013,4.05,Vincent Jackson,WR,TB,41,4.6,3.01,5.1
2013,4.06,Peyton Manning,QB,DEN,42.2,7.8,1.04,6.01
2013,4.07,Dwayne Bowe,WR,KC,43.4,4.6,3.06,5.1
2013,4.08,Montee Ball,RB,DEN,43.9,8,3.06,7.02
2013,4.09,Jason Witten,TE,DAL,44.8,6.8,3.06,6.1
2013,4.09,Vernon Davis,TE,SF,45.3,10.1,2.12,7.02
2013,4.1,Danny Amendola,WR,NE,45.7,6,3.01,5.12
2013,4.1,Ryan Mathews,RB,LAC,45.7,7.1,3.02,6.06
2013,4.11,Marques Colston,WR,NO,47.2,5,3.06,6.03
2013,4.11,Wes Welker,WR,DEN,47.4,6.7,3.02,6.02
2013,4.12,Giovani Bernard,RB,CIN,48.1,7.3,3.05,6.12
2013,5.02,Reggie Wayne,WR,IND,50.5,6.1,3.04,6.09
2013,5.04,Chris Ivory,RB,NYJ,52.5,10.1,3.11,7.09
2013,5.05,Ahmad Bradshaw,RB,IND,52.6,8.2,3.1,7.02
2013,5.06,Daryl Richardson,RB,LAR,54.2,7.4,3.04,7.1
2013,5.06,Shane Vereen,RB,NE,54.4,8.3,2.01,7.08
2013,5.08,Tony Gonzalez,TE,ATL,56,9.4,1.04,7.1
2013,5.08,Pierre Garcon,WR,WAS,56.1,6.5,3.01,6.12
2013,5.09,Hakeem Nicks,WR,IND,57.3,6,4.02,7.05
2013,5.09,Tom Brady,QB,NE,57.4,7.5,2.03,7.02
2013,5.1,Cam Newton,QB,CAR,58.3,6.8,4.05,7.04
2013,5.12,Jordy Nelson,WR,GB,59.9,6.3,4.01,7.03
2013,6.01,Matt Ryan,QB,ATL,61.1,7.9,2.12,7.05
2013,6.03,Antonio Brown,WR,PIT,62.8,6.9,4.09,7.09
2013,6.04,Torrey Smith,WR,BAL,63.7,6.2,3.11,7.12
2013,6.05,Rashard Mendenhall,RB,ARI,64.5,7.8,4.05,8.06
2013,6.06,DeAngelo Williams,RB,CAR,65.9,9.5,3.12,8.1
2013,6.07,Eric Decker,WR,NYJ,66.6,6.8,4.09,8.03
2013,6.1,Matthew Stafford,QB,DET,70.4,6.9,4.09,8.11
2013,6.12,DeSean Jackson,WR,WAS,71.7,7.9,4.09,8.07
2013,6.12,Colin Kaepernick,QB,SF,72.1,9.6,4.02,9.11
2013,7.01,Mike Wallace,WR,MIA,73,8.3,4.02,8.11
2013,7.01,Kyle Rudolph,TE,MIN,73.2,18.4,4.1,11.06
2013,7.03,Mark Ingram,RB,NO,75.5,9.8,5.04,9.02
2013,7.04,Steve Smith,WR,BAL,75.6,7.5,4.02,8.12
2013,7.04,BenJarvus Green-Ellis,RB,CIN,75.9,8.7,5.04,9.01
2013,7.06,Jermichael Finley,TE,GB,78.1,11.8,4.12,10.07
2013,7.07,James Jones,WR,OAK,78.5,7.9,5.01,9.01
2013,7.07,Ben Tate,RB,CLE,78.6,8.8,4.12,9.07
